timestamp -> D4,D7Π,D17,D12Π,D13,D11Π,D20,D22Π,D23,D19Π,D21,D18Π,D14,D15Π,D10,D16Π,Class
19:11:14.835 -> 2338,2239,4095,4095,4095,4095,4095,4095,1618,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.835 -> 2199,2150,4095,4095,4095,4095,4095,4095,1200,4095,4095,4095,4095,4095,2800,4095,0
19:11:14.835 -> 1835,2055,3236,4095,4095,4095,4095,4095,1070,4095,3192,4095,4095,4095,2496,4095,0
19:11:14.835 -> 1786,1997,2992,4095,4095,4095,4026,4095,915,4095,2573,2819,4095,4095,0,4069,0
19:11:14.835 -> 192,243,477,2606,113,953,176,2052,659,4095,963,1105,535,4095,0,4011,0
19:11:14.835 -> 310,1680,1783,4095,1855,3634,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.835 -> 2786,3347,4095,4095,4095,4095,4095,4095,2546,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.881 -> 2761,3277,4095,4095,4095,4095,4095,4095,2464,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.881 -> 2707,3241,4095,4095,4095,4095,4095,4095,2371,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.881 -> 2795,2559,4095,4095,4095,4095,4095,4095,1680,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.881 -> 2298,2192,4095,4095,4095,4095,4095,4095,1377,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.881 -> 1904,2075,3440,4095,4095,4095,4095,4095,1130,4095,3325,4095,4095,4095,2653,4095,0
19:11:14.881 -> 1927,2034,2961,4095,4095,4095,4095,4095,976,4095,2928,3664,4095,4095,2207,4095,0
19:11:14.881 -> 1904,1549,2672,4095,4095,4095,3911,2035,0,4095,483,1004,134,4095,496,4025,0
19:11:14.929 -> 186,45,19,2313,1043,507,1732,2067,0,4095,1174,98,191,4095,518,4095,0
19:11:14.929 -> 555,2515,4095,4095,4095,4095,4095,4095,3218,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.929 -> 2613,2807,4095,4095,4095,4095,4095,4095,2593,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.929 -> 2960,3085,4095,4095,4095,4095,4095,4095,2534,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.929 -> 3219,1005,4095,4095,4095,4095,4095,4095,2031,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.929 -> 2669,768,4095,4095,4095,4095,4095,4095,1501,4095,4095,4095,4095,4095,4095,4095,0
19:11:14.929 -> 2329,2067,3920,4095,4095,4095,4095,4095,1117,4095,3653,4095,4095,4095,2735,4095,0
